"filename","start","end","th","maxdfreq","meandfreq","smean","ssd","ssem","smedian","smode","sQ25","sQ75","sIQR","scent","sskewness","skurtosis","ssfm","ssh"
"notchi_A_2.wav",0,0.2,0.973231908266337,21.7916015625,3.86077665441176,9730.99014599228,7362.13054793045,110.862385537922,11042.503969154,300.068042640054,1540.34928555228,16748.797913359,15208.4486278068,9730.99014599228,7.31285945987785,95.5446166355683,0.639242007753881,0.947421948193084
"notchi_A_2.wav",0.12,0.32,0.985800728119923,0.516796875,0.273598345588235,9604.20109533386,7377.77943975883,111.098033828566,11172.533454298,200.045361760036,1420.32206849626,16483.737809027,15063.4157405307,9604.20109533386,7.51377810878814,95.6454190737746,0.612047606467783,0.943244354256651
"notchi_A_2.wav",0.24,0.44,0.981184654129595,0.6029296875,0.263465073529412,10183.2574964045,7109.7695909318,107.062216887372,11437.5935586301,200.045361760036,2810.63733272851,16853.8217282831,14043.1843955545,10183.2574964045,7.24763676787413,102.471352052107,0.708857534583501,0.959401483553494
"notchi_A_2.wav",0.36,0.56,0.981132046228018,0.4306640625,0.253331801470588,9774.83726168856,6912.40099471707,104.090148779616,9687.19664322976,300.068042640054,3235.73372646859,16588.761623951,13353.0278974824,9774.83726168856,7.22759130655029,111.051943950207,0.697671501559618,0.958027010586814
"notchi_A_2.wav",0.48,0.68,0.984355875246869,19.810546875,2.51811810661765,11022.3806212775,6952.02642297724,104.686846906101,12397.8112950782,295.066908596054,4165.94465865276,17654.0031753232,13488.0585166704,11022.3806212775,2.81615596939341,14.8231457190254,0.655907299390016,0.958366175873614
"notchi_A_2.wav",0.6,0.8,0.984434205636599,19.7244140625,3.64797794117647,9972.3630392762,7117.54094895957,107.179241610612,10677.4211839419,300.068042640054,2445.55454751644,16933.8398729871,14488.2853254706,9972.3630392762,4.87720556051164,43.8607339425689,0.657122526093099,0.95343000009368
"notchi_A_2.wav",0.72,0.92,0.983935580804032,0.516796875,0.2583984375,9253.79923961232,6775.49063024285,102.028488841415,8041.82354275346,300.068042640054,2895.65661147653,15748.5711045589,12852.9144930823,9253.79923961232,3.74690509655965,27.9427682508912,0.705225565891484,0.963835250971477
"notchi_A_2.wav",0.84,1.04,0.983082208009739,0.6029296875,0.253331801470588,9168.96941877735,6779.88688947626,102.094689757425,7851.78044908142,295.066908596054,2815.63846677251,15883.6017237469,13067.9632569744,9168.96941877735,4.01770239547563,34.7195799703012,0.722040269581391,0.963768639765217
"notchi_A_2.wav",0.96,1.16,0.983293397469109,0.6890625,0.298931525735294,9569.09423706671,6867.82442591987,103.418894076405,9077.05828986165,300.068042640054,2720.61691993649,16168.6663642549,13448.0494443184,9569.09423706671,6.43822773553204,92.7819944113947,0.720291126407566,0.962481538733738
"notchi_A_2.wav",1.08,1.28,0.982216883824319,19.63828125,1.41865808823529,9526.48625167232,6875.81296977606,103.539189284852,9057.05375368564,200.045361760036,2810.63733272851,16183.6697663869,13373.0324336584,9526.48625167232,4.49816290676889,44.1457215440889,0.741265628789589,0.962250873752391
"notchi_A_2.wav",1.2,1.4,0.981718761274907,2.1533203125,0.395197610294118,9256.68051539582,6804.36587777293,102.463305747111,7896.79065547743,295.066908596054,2685.60898162849,15833.5903833069,13147.9814016784,9256.68051539582,3.09407189145703,20.8137500847424,0.719106944668591,0.963913050272574
"notchi_A_2.wav",1.32,1.52,0.984519117260904,2.0671875,0.359731158088235,9161.84588429974,7127.64630207516,107.331412717305,8066.82921297346,230.052166024042,1885.42753458834,16048.6391471989,14163.2116126106,9161.84588429974,6.95440162453155,79.5380603195279,0.670923877614064,0.952919701501132
"notchi_A_2.wav",1.44,1.64,0.983404171628159,5.85703125,0.714395680147059,9193.07047913711,6825.22044344976,102.777343495456,6856.55477432524,300.068042640054,2935.66568382853,15778.5779088229,12842.9122249943,9193.07047913711,4.63228258877123,44.7933131055765,0.674646601802688,0.954827935964245
"notchi_A_2.wav",1.56,1.76,0.983990257400812,0.4306640625,0.278664981617647,9742.53380294093,7364.54430160103,110.898732963206,11117.520979814,295.066908596054,1960.44454524836,16798.809253799,14838.3647085507,9742.53380294093,6.03339010154615,60.4757520992939,0.621404759895128,0.948974340046286
"notchi_A_2.wav",1.68,1.88,0.982840980134432,18.432421875,1.34772518382353,9900.32761770289,7332.44136760106,110.415312053616,11162.53118621,295.066908596054,1970.44681333636,16988.8523474711,15018.4055341347,9900.32761770289,7.22382644361903,96.6157746051531,0.633379789570011,0.95153333462815
"notchi_A_2.wav",1.8,2,0.983565563146375,1.2919921875,0.34453125,10122.9724872099,7440.95756726251,112.049399453405,11822.6808800181,225.051031980041,1915.43433885235,17313.9260603311,15398.4917214788,10122.9724872099,4.65120243624806,38.0742282495826,0.64464573219404,0.948043260181364
"notchi_A_2.wav",1.92,2.12,0.984094748894321,1.205859375,0.273598345588235,9767.39477490403,7571.83048293387,114.020144679827,11497.6071671581,200.045361760036,1405.31866636426,17128.8841007031,15723.5654343389,9767.39477490403,6.81602980778986,74.3831057598463,0.561475974433358,0.936959346614056
"notchi_A_2.wav",2.04,2.24,0.975010987368786,0.6890625,0.298931525735294,8542.40692025889,7442.6863661699,112.075432511328,5821.32002721706,325.073712860059,1255.28464504423,15908.6073939669,14653.3227489227,8542.40692025889,5.97489702303185,58.4981207945193,0.561629699569276,0.935722347950504
