"filename" "start" "end" "event" "method" "th" "maxdfreq" "meandfreq" "smean" "ssd" "ssem" "smedian" "smode" "sQ25" "sQ75" "sIQR" "scent" "sskewness" "skurtosis" "ssfm" "ssh"
"1" "cathy_A_1.wav" 5.34 5.36 "0" "2" 0.979896534284522 0.2583984375 0.2583984375 9556.5218292848 8097.93960474753 385.616171654644 6364.43181818182 150.340909090909 1954.43181818182 18291.4772727273 16337.0454545455 9556.5218292848 4.76664350944661 34.3517235223885 0.617186859209717 0.921408545807468
"2" "cathy_A_1.wav" 4.25 4.27 "0" "2" 0.975820145973999 0.172265625 0.172265625 9999.32014623329 8406.14169546539 400.292461688828 8970.34090909091 150.340909090909 801.818181818182 18742.5 17940.6818181818 9999.32014623329 9.58970858757654 117.799831255826 0.591226105175158 0.896311006157467
"3" "cathy_A_1.wav" 0.24 0.26 "0" "2" 0.9806645480485 0.0861328125 0.0861328125 8757.00876969691 6254.31946025595 297.824736202664 7266.47727272727 150.340909090909 4059.20454545455 12879.2045454545 8820 8757.00876969691 2.1722562033253 10.742035115844 0.745516354525832 0.956089864323633
"4" "cathy_A_1.wav" 3.73 3.75 "0" "2" 0.978172111769004 0.0861328125 0.0861328125 9477.28082651425 8150.40978973513 388.114751892149 6865.56818181818 200.454545454545 851.931818181818 18391.7045454545 17539.7727272727 9477.28082651425 6.04426711998478 51.0276571218276 0.608886205384106 0.908802297907114
"5" "cathy_A_1.wav" 4.07 4.09 "0" "2" 0.978457079119372 0.34453125 0.34453125 11237.392243349 7990.79778749825 380.51418035706 12628.6363636364 200.454545454545 3006.81818181818 18942.9545454545 15936.1363636364 11237.392243349 3.6891598463937 25.3743707620769 0.681272630514835 0.940594038375358
"6" "cathy_A_1.wav" 1.22 1.24 "0" "2" 0.966664414731201 0.4306640625 0.4306640625 7111.91991385413 6066.32614700987 288.872673667136 6264.20454545455 451.022727272727 1202.72727272727 11676.4772727273 10473.75 7111.91991385413 6.02116202607241 48.5945486481394 0.62241448257115 0.915933488089851
"7" "cathy_A_1.wav" 8.4 8.42 "0" "2" 0.981261772263772 0.0861328125 0.0861328125 9997.73356809009 7786.68337346019 370.794446355247 7116.13636363636 150.340909090909 2605.90909090909 18291.4772727273 15685.5681818182 9997.73356809009 3.14672138347976 20.1179536135083 0.647614648172999 0.935263963585582
"8" "cathy_A_1.wav" 0.21 0.23 "0" "2" 0.98144222504308 0 0 8019.39357177733 5927.37764464553 282.256078316454 6414.54545454545 150.340909090909 3758.52272727273 11526.1363636364 7767.61363636364 8019.39357177733 2.22797133884753 11.4935106021304 0.702216542724795 0.946555737584831
"9" "cathy_A_1.wav" 6.6 6.62 "0" "2" 0.982850592137037 0.2583984375 0.2583984375 10041.4216002182 7551.85825064659 359.612297649838 9972.61363636364 250.568181818182 3608.18181818182 17990.7954545455 14382.6136363636 10041.4216002182 3.91196479116647 22.3779833200751 0.550254074520917 0.898041692568244
"10" "cathy_A_1.wav" 4.58 4.6 "0" "2" 0.98000807591901 0.0861328125 0.0861328125 8686.52977722176 6828.07814337857 325.146578256122 6564.88636363636 300.681818181818 3507.95454545455 14583.0681818182 11075.1136363636 8686.52977722176 2.91842339451464 13.7225017990832 0.672776771851274 0.936072840785872
"11" "cathy_A_1.wav" 9.55 9.57 "0" "2" 0.980989494863652 0.172265625 0.172265625 7672.36057982825 7085.52078821693 337.405751819854 5813.18181818182 100.227272727273 1503.40909090909 13380.3409090909 11876.9318181818 7672.36057982825 5.33145745173516 45.1446614049221 0.580310699159324 0.908801791886981
"12" "cathy_A_1.wav" 9.26 9.28 "0" "2" 0.980398697347886 0.172265625 0.172265625 7788.48511776528 7074.93074983694 336.90146427795 5161.70454545455 150.340909090909 2305.22727272727 13831.3636363636 11526.1363636364 7788.48511776528 5.14289619499463 52.1111087541865 0.594909799510749 0.918047075201795
"13" "cathy_A_1.wav" 9.34 9.36 "0" "2" 0.980019894603344 0.0861328125 0.0861328125 8767.13449834335 7930.08823942048 377.623249496214 5963.52272727273 250.568181818182 1002.27272727273 17489.6590909091 16487.3863636364 8767.13449834335 6.81130669221531 61.6707127896155 0.616496367563385 0.910471194703333
"14" "cathy_A_1.wav" 9.33 9.35 "0" "2" 0.981105989088649 0.2583984375 0.2583984375 8964.4863404882 8019.96354061386 381.903025743517 6214.09090909091 100.227272727273 801.818181818182 17740.2272727273 16938.4090909091 8964.4863404882 6.84298862194992 59.3594720016189 0.619011132732129 0.910012116122119
"15" "cathy_A_1.wav" 9.35 9.37 "0" "2" 0.978928331462561 0.2583984375 0.2583984375 8777.74460821414 7615.81371166137 362.657795793399 6113.86363636364 250.568181818182 1703.86363636364 16788.0681818182 15084.2045454545 8777.74460821414 5.08216689049266 40.6449151858973 0.662494860185342 0.930103492532942
"16" "cathy_A_1.wav" 9.39 9.41 "0" "2" 0.97922200347316 0.172265625 0.172265625 9030.6299409623 7554.66913764388 359.746149411613 6564.88636363636 150.340909090909 2104.77272727273 17188.9772727273 15084.2045454545 9030.6299409623 3.965012993262 28.1355958208642 0.680592835550956 0.936744310642652
"17" "cathy_A_1.wav" 9.37 9.39 "0" "2" 0.978069082960279 0.0861328125 0.0861328125 8398.57594749127 6898.41692015292 328.496043816806 6214.09090909091 200.454545454545 3056.93181818182 14833.6363636364 11776.7045454545 8398.57594749127 3.82008207147101 24.4382795013109 0.630039968897893 0.92646252296761
