"filename" "start" "end" "event" "th" "maxdfreq" "meandfreq" "smean" "ssd" "ssem" "smedian" "smode" "sQ25" "sQ75" "sIQR" "scent" "sskewness" "skurtosis" "ssfm" "ssh" "sprec"
"1" "cathy_A_1.wav" 0 0.8 1 0.983785051350327 20.499609375 1.20839269301471 8747.4062426128 6182.82068346833 46.5518945813307 7226.65967458473 150.00850388344 4162.73598276546 13001.9870740972 8839.25109133171 8747.4062426128 9.9784200801244 289.654530573396 0.645811532401999 0.968889924572988 1.25
"2" "cathy_A_1.wav" 0.8 1.6 1 0.907652306683792 5.340234375 0.238131893382353 4040.15504711544 5791.86945045628 43.6083318423562 512.529054935087 203.761551108339 260.01474006463 6746.63246215772 6486.61772209309 4040.15504711544 7.64788654443427 65.3996210784098 0.355477330753973 0.843204536487974 1.25
"3" "cathy_A_1.wav" 1.6 2.4 1 0.977373952857003 7.1490234375 0.336931295955882 8745.76041611067 7142.62757459626 53.7785038429724 6686.62906060434 150.00850388344 2192.62429842962 15247.114348886 13054.4900504564 8745.76041611067 14.9386269780972 449.48555841271 0.609461939042592 0.960360476905569 1.25
"4" "cathy_A_1.wav" 2.4 3.2 1 0.979213753277214 6.373828125 0.359731158088235 8162.7819901918 6654.22121727898 50.101178812428 6822.88678496513 0 2325.13181019332 12584.4634049549 10259.3315947616 8162.7819901918 8.22293961067123 146.443009137233 0.661082054440664 0.962740775204266 1.25
"5" "cathy_A_1.wav" 3.2 4 1 0.986197066075037 6.6322265625 0.205198759191176 9202.1939174298 7429.09142800859 55.9353568050952 6832.8873518907 0 2667.65122739384 17077.218096264 14409.5668688701 9202.1939174298 13.4399528078044 402.592380702672 0.528107157484217 0.956388188969923 1.25
"6" "cathy_A_1.wav" 4 4.8 1 0.983371596131577 11.36953125 0.435730698529412 9861.89433616298 6947.83744724842 52.3118836807499 8828.00045354045 0 3875.21968365554 16000.9070809003 12125.6873972447 9861.89433616298 13.5812279619668 425.32918670068 0.652745269563847 0.969250172306925 1.25
"7" "cathy_A_1.wav" 4.8 5.6 1 0.986063311805277 21.533203125 0.455997242647059 10353.5076739428 8034.7560500509 60.4955465761397 9341.77957934123 0 2251.3776291173 18569.8027099042 16318.4250807869 10353.5076739428 16.4353100910661 576.964100246646 0.526626521292228 0.952950568247267 1.25
"8" "cathy_A_1.wav" 5.6 6.4 0 0.936958273768728 6.029296875 0.354664522058824 10311.505015819 7790.96787292154 58.6600087038794 8514.23266625092 0 2810.15930608311 18421.0442768864 15610.8849708033 10311.505015819 16.2627178943354 592.575287619405 0.554952133770075 0.958806073301944 1.25
"9" "cathy_A_1.wav" 6.4 7.2 1 0.979193122668735 5.5986328125 0.490197035845588 9060.53199607842 7601.65774239535 57.2346487119591 6484.1175803617 0 1948.86047961903 17227.2266001474 15278.3661205284 9060.53199607842 14.4961750667477 420.470547772526 0.492543396308603 0.952682348255758 1.25
"10" "cathy_A_1.wav" 7.2 8 1 0.975409255310307 6.4599609375 1.23499253216912 7663.94703098618 6258.9652145457 47.1252044612592 5689.07250977947 0 3532.70026645501 10156.8257837746 6624.12551731958 7663.94703098618 4.63153633561567 60.567207508297 0.508376813074193 0.945659672099898 1.25
"11" "cathy_A_1.wav" 8 8.8 0 0.975123939478804 7.1490234375 0.932261029411765 8254.65441128834 6582.69191780048 49.5626180843605 5751.57605306423 0 3712.71047111514 12994.486648903 9281.77617778785 8254.65441128834 5.57997669486997 96.1423941520484 0.554157808413933 0.95352929417536 1.25
"12" "cathy_A_1.wav" 8.8 9.6 1 0.877778080803886 6.2876953125 1.85945542279412 5871.45955653565 3794.0448180973 28.5662456427302 5672.82158852543 150.00850388344 3811.46606950507 7011.64748568513 3200.18141618006 5871.45955653565 3.77054784400833 22.5324745440943 0.352401769749984 0.910893429392756 1.25
"13" "cathy_A_1.wav" 9.6 10.4 0 0.942650701417173 7.23515625 0.941127642463235 6925.88040730301 6172.9985289858 46.477941296343 5526.56329723907 0 1876.3563694087 8694.24287091105 6817.88650150235 6925.88040730301 6.12569055272818 86.973016640698 0.508191529997692 0.942552055421904 1.25
"14" "cathy_A_1.wav" 10.4 11.2 0 0.911194448511001 8.1826171875 0.995593979779412 6961.83334679324 3980.0785325858 29.9669367364567 6596.62395827428 0 4775.27070695618 8210.46544588695 3435.19473893078 6961.83334679324 1.96064764999372 6.43966165908125 0.388066075403273 0.923341307144941 1.25
"15" "cathy_A_1.wav" 11.2 12 0 0.971207458212951 6.4599609375 0.596596392463235 7304.67514739585 5601.58457448339 42.1756327653157 5864.08243097681 0 3616.4550144566 9096.76568966495 5480.31067520834 7304.67514739585 3.91749743204656 52.3513155984353 0.531348787862369 0.949294515662295 1.25
"16" "cathy_A_2.wav" 0 0.8 1 0.984762863221248 21.7916015625 0.930994370404412 7563.59395114214 6059.68276708342 45.6247605763219 6271.60553319349 150.00850388344 2342.63280231306 12201.9417200522 9859.3089177391 7563.59395114214 10.7142523913891 290.171027981917 0.584978921271318 0.959799184428507 1.25
"17" "cathy_A_2.wav" 0.8 1.6 1 0.982980022390707 6.54609375 0.383797679227941 6094.47591813929 6464.4999803531 48.6727235048322 3462.69629797608 150.00850388344 1186.31725154487 8169.21310731901 6982.89585577414 6094.47591813929 10.5009152491937 246.784013248678 0.45611439436963 0.932900825307897 1.25
"18" "cathy_A_2.wav" 1.6 2.4 1 0.858388124849542 6.4599609375 0.786595243566176 6737.65590494885 6271.09551967617 47.2165363491761 5214.04558081524 150.00850388344 1863.85566075174 9069.26413061965 7205.40846986791 6737.65590494885 11.5731066355712 347.499730789584 0.525552868070969 0.945288275720759 1.25
"19" "cathy_A_2.wav" 2.4 3.2 1 0.927647423709517 7.4935546875 0.974060776654412 6620.81055312911 4475.88767528085 33.6999990594372 5920.3356199331 150.00850388344 3675.20834514428 8484.23096547423 4809.02262032995 6620.81055312911 3.17239637001919 24.3481337098617 0.410984162829217 0.934521735724306 1.25
"20" "cathy_A_2.wav" 3.2 4 1 0.986765198951639 0.4306640625 0.127932559742647 7785.80659582265 7222.4055771375 54.3791709744225 5275.29905323431 150.00850388344 1371.32773966778 14097.0491524463 12725.7214127785 7785.80659582265 18.6456764960957 693.193876855018 0.530204055772564 0.948397535631194 1.25
"21" "cathy_A_2.wav" 4 4.8 1 0.984570094458763 4.651171875 0.234331916360294 7862.55123749727 6570.35600212004 49.4697381068034 6099.09575372754 150.00850388344 2085.11820397982 13133.2445149952 11048.1263110154 7862.55123749727 14.7163630398312 490.506077297307 0.621609424876703 0.958998532409576 1.25
"22" "cathy_A_2.wav" 4.8 5.6 1 0.98211662192818 8.26875 0.630796185661765 7537.27378007414 5818.67158491061 43.810131344808 6564.1221157662 150.00850388344 2883.91348715914 11771.917342253 8888.00385509383 7537.27378007414 5.98609702270894 94.9814214958092 0.606231762677281 0.957117595787399 1.25
"23" "cathy_A_3.wav" 0 0.8 1 0.982864310041171 4.651171875 0.240665211397059 8520.99341414485 6541.85224325399 49.2551266784869 7301.66392652645 150.00850388344 3136.42780202959 13387.0089007313 10250.5810987017 8520.99341414485 10.6186426744001 313.382268527898 0.600493245510834 0.965489428708889 1.25
"24" "cathy_A_3.wav" 0.8 1.6 1 0.986380505211536 0.4306640625 0.143132467830882 9887.93529994762 8319.81217255086 62.6418004048917 8470.48018595158 0 1040.05896025852 18571.0527807699 17530.9938205114 9887.93529994762 19.0237325316566 699.336692815471 0.474989969438519 0.939598195264101 1.25
